Numer of labeled samples:36925   AUC:0.729
Numer of labeled samples:35945   AUC:0.717
Numer of labeled samples:35719   AUC:0.789
Numer of labeled samples:36543   AUC:0.795
Numer of labeled samples:36861   AUC:0.804
Numer of labeled samples:36700   AUC:0.814
Numer of labeled samples:37318   AUC:0.807
Numer of labeled samples:37441   AUC:0.805
Numer of labeled samples:37164   AUC:0.811
Numer of labeled samples:37362   AUC:0.809
Numer of labeled samples:37500   AUC:0.819
Numer of labeled samples:37047   AUC:0.819
Numer of labeled samples:36452   AUC:0.812
Numer of labeled samples:36021   AUC:0.814
Numer of labeled samples:36275   AUC:0.818
Numer of labeled samples:36043   AUC:0.812
Numer of labeled samples:35740   AUC:0.812
Numer of labeled samples:35516   AUC:0.811
Numer of labeled samples:35614   AUC:0.813
Numer of labeled samples:35995   AUC:0.813
Numer of labeled samples:35393   AUC:0.815
Numer of labeled samples:35768   AUC:0.817
Numer of labeled samples:35686   AUC:0.819
Numer of labeled samples:35621   AUC:0.814
Numer of labeled samples:35895   AUC:0.815
Numer of labeled samples:35872   AUC:0.819
Numer of labeled samples:35824   AUC:0.807
Numer of labeled samples:36269   AUC:0.816
Numer of labeled samples:35587   AUC:0.809
Numer of labeled samples:35745   AUC:0.816
Numer of labeled samples:35956   AUC:0.826
Numer of labeled samples:35015   AUC:0.804
Numer of labeled samples:36196   AUC:0.821
Numer of labeled samples:35448   AUC:0.817
Numer of labeled samples:35736   AUC:0.820
Numer of labeled samples:35649   AUC:0.821
Numer of labeled samples:35884   AUC:0.821
Numer of labeled samples:35729   AUC:0.823
Numer of labeled samples:36079   AUC:0.824
Numer of labeled samples:35596   AUC:0.822
Numer of labeled samples:35680   AUC:0.815
Numer of labeled samples:35951   AUC:0.824
Numer of labeled samples:36048   AUC:0.823
Numer of labeled samples:36043   AUC:0.822
Numer of labeled samples:35629   AUC:0.824
Numer of labeled samples:36116   AUC:0.823
Numer of labeled samples:36124   AUC:0.818
Numer of labeled samples:35614   AUC:0.818
Numer of labeled samples:36063   AUC:0.815
Numer of labeled samples:36145   AUC:0.814
Numer of labeled samples:36377   AUC:0.817
Numer of labeled samples:35973   AUC:0.816
Numer of labeled samples:35809   AUC:0.821
Numer of labeled samples:36446   AUC:0.823
Numer of labeled samples:36243   AUC:0.820
Numer of labeled samples:35974   AUC:0.822
Numer of labeled samples:36150   AUC:0.817
Numer of labeled samples:36276   AUC:0.814
Numer of labeled samples:36274   AUC:0.816
Numer of labeled samples:36326   AUC:0.823
Numer of labeled samples:36247   AUC:0.823
Numer of labeled samples:36623   AUC:0.825
Numer of labeled samples:36726   AUC:0.826
Numer of labeled samples:36310   AUC:0.824
Numer of labeled samples:36190   AUC:0.820
Numer of labeled samples:36418   AUC:0.817
Numer of labeled samples:36435   AUC:0.818
Numer of labeled samples:36345   AUC:0.824
Numer of labeled samples:36236   AUC:0.822
Numer of labeled samples:36387   AUC:0.825
Numer of labeled samples:36293   AUC:0.814
Numer of labeled samples:36530   AUC:0.824
Numer of labeled samples:36378   AUC:0.823
Numer of labeled samples:36435   AUC:0.826
Numer of labeled samples:36292   AUC:0.824
Numer of labeled samples:36418   AUC:0.822
Numer of labeled samples:36717   AUC:0.815
Numer of labeled samples:36453   AUC:0.825
Numer of labeled samples:36524   AUC:0.822
Numer of labeled samples:36700   AUC:0.824
Numer of labeled samples:36798   AUC:0.817
Numer of labeled samples:36520   AUC:0.823
Numer of labeled samples:36645   AUC:0.825
Numer of labeled samples:36739   AUC:0.825
Numer of labeled samples:36880   AUC:0.822
Numer of labeled samples:36725   AUC:0.821
Numer of labeled samples:36850   AUC:0.820
Numer of labeled samples:36802   AUC:0.823
Numer of labeled samples:37088   AUC:0.826
Numer of labeled samples:36803   AUC:0.823
Numer of labeled samples:37038   AUC:0.823
Numer of labeled samples:36975   AUC:0.826
Numer of labeled samples:36878   AUC:0.824
Numer of labeled samples:36890   AUC:0.820
Numer of labeled samples:37214   AUC:0.821
Numer of labeled samples:36776   AUC:0.825
Numer of labeled samples:37003   AUC:0.829
Numer of labeled samples:37069   AUC:0.818
Numer of labeled samples:37163   AUC:0.818
Numer of labeled samples:37056   AUC:0.821
Numer of labeled samples:37037   AUC:0.826
Numer of labeled samples:36802   AUC:0.828
Numer of labeled samples:37062   AUC:0.823
Numer of labeled samples:37172   AUC:0.829
Numer of labeled samples:37327   AUC:0.823
Numer of labeled samples:37031   AUC:0.822
