Numer of labeled samples:35789   AUC:0.832
Numer of labeled samples:35624   AUC:0.839
Numer of labeled samples:35628   AUC:0.838
Numer of labeled samples:35341   AUC:0.838
Numer of labeled samples:35592   AUC:0.833
Numer of labeled samples:35643   AUC:0.839
Numer of labeled samples:35997   AUC:0.838
Numer of labeled samples:35866   AUC:0.840
Numer of labeled samples:35822   AUC:0.839
Numer of labeled samples:35626   AUC:0.840
Numer of labeled samples:35867   AUC:0.839
Numer of labeled samples:36079   AUC:0.840
Numer of labeled samples:35853   AUC:0.837
Numer of labeled samples:36325   AUC:0.837
Numer of labeled samples:36147   AUC:0.840
Numer of labeled samples:35710   AUC:0.829
Numer of labeled samples:35951   AUC:0.837
Numer of labeled samples:36030   AUC:0.830
Numer of labeled samples:36130   AUC:0.839
Numer of labeled samples:35859   AUC:0.839
Numer of labeled samples:36173   AUC:0.839
Numer of labeled samples:35927   AUC:0.836
Numer of labeled samples:36119   AUC:0.837
Numer of labeled samples:35923   AUC:0.843
Numer of labeled samples:36163   AUC:0.836
Numer of labeled samples:36146   AUC:0.832
Numer of labeled samples:35807   AUC:0.837
Numer of labeled samples:36290   AUC:0.828
Numer of labeled samples:36438   AUC:0.838
Numer of labeled samples:36352   AUC:0.836
Numer of labeled samples:35947   AUC:0.840
Numer of labeled samples:36331   AUC:0.837
Numer of labeled samples:36677   AUC:0.843
Numer of labeled samples:35593   AUC:0.835
Numer of labeled samples:35835   AUC:0.835
Numer of labeled samples:36073   AUC:0.834
Numer of labeled samples:35996   AUC:0.837
Numer of labeled samples:35929   AUC:0.835
Numer of labeled samples:35860   AUC:0.838
Numer of labeled samples:36073   AUC:0.833
Numer of labeled samples:36156   AUC:0.841
Numer of labeled samples:36277   AUC:0.836
Numer of labeled samples:36163   AUC:0.833
Numer of labeled samples:36032   AUC:0.834
Numer of labeled samples:36186   AUC:0.837
Numer of labeled samples:35996   AUC:0.837
Numer of labeled samples:36405   AUC:0.849
Numer of labeled samples:36178   AUC:0.842
Numer of labeled samples:36386   AUC:0.847
Numer of labeled samples:36483   AUC:0.838
Numer of labeled samples:35705   AUC:0.831
Numer of labeled samples:36102   AUC:0.839
Numer of labeled samples:36247   AUC:0.835
Numer of labeled samples:36238   AUC:0.838
Numer of labeled samples:36374   AUC:0.845
Numer of labeled samples:35959   AUC:0.836
Numer of labeled samples:36561   AUC:0.841
Numer of labeled samples:36607   AUC:0.834
Numer of labeled samples:36761   AUC:0.841
Numer of labeled samples:35981   AUC:0.838
Numer of labeled samples:36946   AUC:0.845
Numer of labeled samples:36467   AUC:0.843
Numer of labeled samples:36938   AUC:0.844
Numer of labeled samples:36108   AUC:0.830
Numer of labeled samples:36992   AUC:0.840
Numer of labeled samples:36518   AUC:0.833
Numer of labeled samples:36463   AUC:0.837
Numer of labeled samples:36931   AUC:0.841
Numer of labeled samples:36183   AUC:0.820
Numer of labeled samples:36488   AUC:0.836
Numer of labeled samples:37017   AUC:0.839
Numer of labeled samples:36303   AUC:0.836
Numer of labeled samples:36271   AUC:0.836
Numer of labeled samples:36112   AUC:0.840
Numer of labeled samples:35885   AUC:0.840
Numer of labeled samples:36226   AUC:0.843
Numer of labeled samples:36832   AUC:0.835
Numer of labeled samples:36468   AUC:0.839
Numer of labeled samples:36386   AUC:0.839
Numer of labeled samples:36339   AUC:0.844
Numer of labeled samples:36505   AUC:0.838
Numer of labeled samples:37185   AUC:0.841
Numer of labeled samples:35688   AUC:0.827
Numer of labeled samples:36551   AUC:0.840
Numer of labeled samples:36505   AUC:0.834
Numer of labeled samples:36466   AUC:0.836
Numer of labeled samples:36231   AUC:0.838
Numer of labeled samples:35929   AUC:0.840
Numer of labeled samples:36422   AUC:0.835
Numer of labeled samples:36482   AUC:0.836
Numer of labeled samples:37275   AUC:0.850
Numer of labeled samples:37155   AUC:0.845
Numer of labeled samples:37371   AUC:0.849
Numer of labeled samples:37325   AUC:0.843
Numer of labeled samples:37463   AUC:0.846
Numer of labeled samples:37385   AUC:0.846
Numer of labeled samples:37452   AUC:0.848
Numer of labeled samples:37482   AUC:0.846
Numer of labeled samples:37552   AUC:0.853
Numer of labeled samples:37846   AUC:0.853
Numer of labeled samples:37693   AUC:0.849
Numer of labeled samples:37605   AUC:0.849
Numer of labeled samples:37758   AUC:0.850
Numer of labeled samples:37671   AUC:0.848
Numer of labeled samples:37817   AUC:0.851
Numer of labeled samples:37806   AUC:0.847
Numer of labeled samples:37788   AUC:0.846
Numer of labeled samples:37664   AUC:0.852
Numer of labeled samples:37810   AUC:0.846
Numer of labeled samples:37884   AUC:0.850
Numer of labeled samples:37844   AUC:0.844
Numer of labeled samples:37767   AUC:0.849
Numer of labeled samples:38004   AUC:0.849
Numer of labeled samples:37978   AUC:0.849
Numer of labeled samples:37912   AUC:0.845
Numer of labeled samples:38027   AUC:0.855
Numer of labeled samples:38099   AUC:0.849
Numer of labeled samples:37946   AUC:0.850
Numer of labeled samples:38048   AUC:0.852
Numer of labeled samples:38018   AUC:0.848
Numer of labeled samples:38117   AUC:0.852
Numer of labeled samples:37968   AUC:0.846
Numer of labeled samples:38113   AUC:0.847
Numer of labeled samples:38052   AUC:0.846
Numer of labeled samples:38109   AUC:0.852
Numer of labeled samples:38102   AUC:0.850
Numer of labeled samples:38140   AUC:0.849
Numer of labeled samples:38073   AUC:0.847
Numer of labeled samples:38125   AUC:0.849
Numer of labeled samples:38150   AUC:0.846
Numer of labeled samples:38402   AUC:0.850
Numer of labeled samples:38203   AUC:0.852
Numer of labeled samples:38195   AUC:0.847
Numer of labeled samples:38272   AUC:0.847
Numer of labeled samples:38381   AUC:0.852
Numer of labeled samples:38224   AUC:0.851
Numer of labeled samples:38463   AUC:0.848
Numer of labeled samples:38282   AUC:0.852
Numer of labeled samples:38517   AUC:0.849
Numer of labeled samples:38382   AUC:0.855
Numer of labeled samples:38503   AUC:0.852
Numer of labeled samples:38383   AUC:0.850
Numer of labeled samples:38551   AUC:0.851
Numer of labeled samples:38412   AUC:0.850
Numer of labeled samples:38597   AUC:0.858
Numer of labeled samples:38428   AUC:0.852
Numer of labeled samples:38593   AUC:0.848
Numer of labeled samples:38674   AUC:0.847
Numer of labeled samples:38535   AUC:0.844
Numer of labeled samples:38594   AUC:0.851
Numer of labeled samples:38633   AUC:0.847
Numer of labeled samples:38554   AUC:0.847
Numer of labeled samples:38482   AUC:0.845
Numer of labeled samples:38509   AUC:0.848
Numer of labeled samples:38512   AUC:0.850
Numer of labeled samples:38583   AUC:0.843
Numer of labeled samples:38645   AUC:0.849
Numer of labeled samples:38486   AUC:0.854
Numer of labeled samples:38593   AUC:0.856
Numer of labeled samples:38634   AUC:0.848
Numer of labeled samples:38677   AUC:0.854
Numer of labeled samples:38695   AUC:0.848
