Epoch:188   Accuracy:72.69
Epoch:189   Accuracy:72.90
Epoch:190   Accuracy:72.39
Epoch:191   Accuracy:72.81
Epoch:192   Accuracy:72.26
Epoch:193   Accuracy:72.70
Epoch:194   Accuracy:72.87
Epoch:195   Accuracy:72.59
Epoch:196   Accuracy:72.63
Epoch:197   Accuracy:73.23
Epoch:198   Accuracy:72.98
Epoch:199   Accuracy:72.79
Epoch:200   Accuracy:72.73
Epoch:201   Accuracy:72.52
Epoch:202   Accuracy:73.01
Epoch:203   Accuracy:72.90
Epoch:204   Accuracy:72.47
Epoch:205   Accuracy:72.75
Epoch:206   Accuracy:72.92
Epoch:207   Accuracy:72.90
Epoch:208   Accuracy:72.85
Epoch:209   Accuracy:73.22
Epoch:210   Accuracy:72.83
Epoch:211   Accuracy:72.53
Epoch:212   Accuracy:72.71
Epoch:213   Accuracy:73.19
Epoch:214   Accuracy:73.20
Epoch:215   Accuracy:73.01
Epoch:216   Accuracy:72.85
Epoch:217   Accuracy:72.68
Epoch:218   Accuracy:72.70
Epoch:219   Accuracy:73.00
Epoch:220   Accuracy:73.28
Epoch:221   Accuracy:72.75
Epoch:222   Accuracy:73.11
Epoch:223   Accuracy:72.83
Epoch:224   Accuracy:72.86
Epoch:225   Accuracy:73.15
Epoch:226   Accuracy:73.10
Epoch:227   Accuracy:73.45
Epoch:228   Accuracy:72.67
Epoch:229   Accuracy:72.71
Epoch:230   Accuracy:72.90
Epoch:231   Accuracy:73.47
Epoch:232   Accuracy:72.89
Epoch:233   Accuracy:73.10
Epoch:234   Accuracy:72.73
Epoch:235   Accuracy:72.73
Epoch:236   Accuracy:73.09
Epoch:237   Accuracy:72.80
Epoch:238   Accuracy:72.95
Epoch:239   Accuracy:72.63
Epoch:240   Accuracy:72.90
Epoch:241   Accuracy:72.91
Epoch:242   Accuracy:72.48
Epoch:243   Accuracy:73.04
Epoch:244   Accuracy:73.00
Epoch:245   Accuracy:73.05
Epoch:246   Accuracy:73.10
Epoch:247   Accuracy:73.04
Epoch:248   Accuracy:72.80
Epoch:249   Accuracy:73.58
