Epoch:188   Accuracy:72.69
Epoch:189   Accuracy:72.73
Epoch:190   Accuracy:72.72
Epoch:191   Accuracy:72.80
Epoch:192   Accuracy:72.68
Epoch:193   Accuracy:72.59
Epoch:194   Accuracy:72.50
Epoch:195   Accuracy:73.04
Epoch:196   Accuracy:72.91
Epoch:197   Accuracy:72.93
Epoch:198   Accuracy:73.19
Epoch:199   Accuracy:72.84
Epoch:200   Accuracy:72.87
Epoch:201   Accuracy:73.10
Epoch:202   Accuracy:72.86
Epoch:203   Accuracy:73.11
Epoch:204   Accuracy:72.96
Epoch:205   Accuracy:73.15
Epoch:206   Accuracy:73.21
Epoch:207   Accuracy:72.99
Epoch:208   Accuracy:72.90
Epoch:209   Accuracy:73.05
Epoch:210   Accuracy:72.77
Epoch:211   Accuracy:72.91
Epoch:212   Accuracy:72.98
Epoch:213   Accuracy:72.74
Epoch:214   Accuracy:72.87
Epoch:215   Accuracy:73.57
Epoch:216   Accuracy:73.39
Epoch:217   Accuracy:73.00
Epoch:218   Accuracy:73.19
Epoch:219   Accuracy:72.75
Epoch:220   Accuracy:72.90
Epoch:221   Accuracy:72.77
Epoch:222   Accuracy:72.97
Epoch:223   Accuracy:72.95
Epoch:224   Accuracy:73.42
Epoch:225   Accuracy:73.41
Epoch:226   Accuracy:73.03
Epoch:227   Accuracy:73.03
Epoch:228   Accuracy:72.98
Epoch:229   Accuracy:73.28
Epoch:230   Accuracy:73.57
Epoch:231   Accuracy:73.14
Epoch:232   Accuracy:73.19
Epoch:233   Accuracy:73.26
Epoch:234   Accuracy:73.12
Epoch:235   Accuracy:73.67
Epoch:236   Accuracy:73.04
Epoch:237   Accuracy:73.45
Epoch:238   Accuracy:73.19
Epoch:239   Accuracy:73.61
Epoch:240   Accuracy:73.58
Epoch:241   Accuracy:73.19
Epoch:242   Accuracy:73.59
Epoch:243   Accuracy:73.36
Epoch:244   Accuracy:73.20
Epoch:245   Accuracy:73.53
Epoch:246   Accuracy:73.70
Epoch:247   Accuracy:73.44
Epoch:248   Accuracy:73.50
Epoch:249   Accuracy:73.56
Epoch:250   Accuracy:73.38
Epoch:251   Accuracy:73.60
Epoch:252   Accuracy:73.73
Epoch:253   Accuracy:73.21
Epoch:254   Accuracy:73.75
Epoch:255   Accuracy:73.72
Epoch:256   Accuracy:72.94
Epoch:257   Accuracy:73.26
Epoch:258   Accuracy:73.66
Epoch:259   Accuracy:73.50
Epoch:260   Accuracy:73.72
Epoch:261   Accuracy:73.15
Epoch:262   Accuracy:73.62
Epoch:263   Accuracy:73.38
Epoch:264   Accuracy:72.87
Epoch:265   Accuracy:73.24
Epoch:266   Accuracy:73.28
Epoch:267   Accuracy:73.41
Epoch:268   Accuracy:73.32
Epoch:269   Accuracy:73.71
Epoch:270   Accuracy:73.51
Epoch:271   Accuracy:73.63
Epoch:272   Accuracy:73.43
Epoch:273   Accuracy:73.42
Epoch:274   Accuracy:73.73
Epoch:275   Accuracy:73.69
Epoch:276   Accuracy:73.42
Epoch:277   Accuracy:73.64
Epoch:278   Accuracy:73.88
Epoch:279   Accuracy:73.96
Epoch:280   Accuracy:73.90
Epoch:281   Accuracy:73.75
Epoch:282   Accuracy:73.46
Epoch:283   Accuracy:73.20
Epoch:284   Accuracy:73.59
Epoch:285   Accuracy:73.89
Epoch:286   Accuracy:73.65
Epoch:287   Accuracy:73.35
Epoch:288   Accuracy:74.27
Epoch:289   Accuracy:72.76
Epoch:290   Accuracy:73.62
Epoch:291   Accuracy:73.07
Epoch:292   Accuracy:74.27
Epoch:293   Accuracy:73.46
Epoch:294   Accuracy:73.37
Epoch:295   Accuracy:73.54
Epoch:296   Accuracy:73.50
Epoch:297   Accuracy:74.21
Epoch:298   Accuracy:73.77
Epoch:299   Accuracy:73.48
Epoch:300   Accuracy:74.02
Epoch:301   Accuracy:73.80
Epoch:302   Accuracy:73.60
Epoch:303   Accuracy:73.94
Epoch:304   Accuracy:74.04
Epoch:305   Accuracy:73.98
Epoch:306   Accuracy:73.78
Epoch:307   Accuracy:73.80
Epoch:308   Accuracy:73.52
Epoch:309   Accuracy:73.63
Epoch:310   Accuracy:73.99
Epoch:311   Accuracy:73.45
Epoch:312   Accuracy:73.71
Epoch:313   Accuracy:73.94
Epoch:314   Accuracy:73.84
Epoch:315   Accuracy:74.00
Epoch:316   Accuracy:73.99
Epoch:317   Accuracy:73.67
Epoch:318   Accuracy:73.96
Epoch:319   Accuracy:73.82
Epoch:320   Accuracy:73.94
Epoch:321   Accuracy:73.68
Epoch:322   Accuracy:73.55
Epoch:323   Accuracy:73.70
Epoch:324   Accuracy:73.69
Epoch:325   Accuracy:74.30
Epoch:326   Accuracy:73.87
Epoch:327   Accuracy:74.12
Epoch:328   Accuracy:73.58
Epoch:329   Accuracy:74.06
Epoch:330   Accuracy:74.08
Epoch:331   Accuracy:74.01
Epoch:332   Accuracy:73.20
Epoch:333   Accuracy:73.93
Epoch:334   Accuracy:74.08
Epoch:335   Accuracy:73.64
Epoch:336   Accuracy:74.23
Epoch:337   Accuracy:74.17
Epoch:338   Accuracy:74.37
Epoch:339   Accuracy:73.99
