Numer of labeled samples:35452   AUC:0.836
Numer of labeled samples:35295   AUC:0.836
Numer of labeled samples:35646   AUC:0.838
Numer of labeled samples:35648   AUC:0.844
Numer of labeled samples:36111   AUC:0.840
Numer of labeled samples:35200   AUC:0.830
Numer of labeled samples:35582   AUC:0.834
Numer of labeled samples:35727   AUC:0.836
Numer of labeled samples:35775   AUC:0.835
Numer of labeled samples:35773   AUC:0.840
Numer of labeled samples:35754   AUC:0.836
Numer of labeled samples:36234   AUC:0.837
Numer of labeled samples:35747   AUC:0.830
Numer of labeled samples:36054   AUC:0.838
Numer of labeled samples:35782   AUC:0.836
Numer of labeled samples:35593   AUC:0.839
Numer of labeled samples:35735   AUC:0.842
Numer of labeled samples:35277   AUC:0.838
Numer of labeled samples:35706   AUC:0.841
Numer of labeled samples:35921   AUC:0.832
Numer of labeled samples:35677   AUC:0.832
Numer of labeled samples:36094   AUC:0.847
Numer of labeled samples:35722   AUC:0.839
Numer of labeled samples:36077   AUC:0.835
Numer of labeled samples:36014   AUC:0.834
Numer of labeled samples:35687   AUC:0.840
Numer of labeled samples:35310   AUC:0.842
Numer of labeled samples:35814   AUC:0.843
Numer of labeled samples:35529   AUC:0.835
Numer of labeled samples:35583   AUC:0.835
Numer of labeled samples:35833   AUC:0.845
Numer of labeled samples:35761   AUC:0.839
Numer of labeled samples:35925   AUC:0.843
Numer of labeled samples:35524   AUC:0.834
Numer of labeled samples:35868   AUC:0.839
Numer of labeled samples:35735   AUC:0.836
Numer of labeled samples:35798   AUC:0.842
Numer of labeled samples:35743   AUC:0.840
Numer of labeled samples:36048   AUC:0.845
Numer of labeled samples:36116   AUC:0.829
Numer of labeled samples:35707   AUC:0.834
Numer of labeled samples:35921   AUC:0.840
Numer of labeled samples:36380   AUC:0.838
Numer of labeled samples:36104   AUC:0.835
Numer of labeled samples:36426   AUC:0.830
Numer of labeled samples:36518   AUC:0.838
Numer of labeled samples:36116   AUC:0.837
Numer of labeled samples:35905   AUC:0.833
Numer of labeled samples:36626   AUC:0.843
Numer of labeled samples:35909   AUC:0.835
Numer of labeled samples:35959   AUC:0.843
Numer of labeled samples:36087   AUC:0.838
Numer of labeled samples:35898   AUC:0.842
Numer of labeled samples:36225   AUC:0.840
Numer of labeled samples:36297   AUC:0.830
Numer of labeled samples:35814   AUC:0.834
Numer of labeled samples:36420   AUC:0.841
Numer of labeled samples:36075   AUC:0.837
Numer of labeled samples:36498   AUC:0.839
Numer of labeled samples:36027   AUC:0.830
Numer of labeled samples:36310   AUC:0.842
Numer of labeled samples:36004   AUC:0.841
Numer of labeled samples:36066   AUC:0.838
Numer of labeled samples:36469   AUC:0.834
Numer of labeled samples:36467   AUC:0.844
Numer of labeled samples:36430   AUC:0.842
