Epoch:0   Accuracy:16.75
Epoch:1   Accuracy:25.86
Epoch:2   Accuracy:32.25
Epoch:3   Accuracy:37.22
Epoch:4   Accuracy:41.02
Epoch:5   Accuracy:44.55
Epoch:6   Accuracy:48.05
Epoch:7   Accuracy:49.15
Epoch:8   Accuracy:51.03
Epoch:9   Accuracy:52.89
Epoch:10   Accuracy:54.36
Epoch:11   Accuracy:54.46
Epoch:12   Accuracy:55.67
Epoch:13   Accuracy:57.99
Epoch:14   Accuracy:57.07
Epoch:15   Accuracy:59.15
Epoch:16   Accuracy:58.13
Epoch:17   Accuracy:60.60
Epoch:18   Accuracy:60.74
Epoch:19   Accuracy:61.59
Epoch:20   Accuracy:60.76
Epoch:21   Accuracy:61.47
Epoch:22   Accuracy:61.41
Epoch:23   Accuracy:62.25
Epoch:24   Accuracy:62.17
Epoch:25   Accuracy:62.01
Epoch:26   Accuracy:62.53
Epoch:27   Accuracy:63.73
Epoch:28   Accuracy:63.46
Epoch:29   Accuracy:63.06
Epoch:30   Accuracy:60.33
Epoch:31   Accuracy:60.98
Epoch:32   Accuracy:61.91
Epoch:33   Accuracy:62.55
Epoch:34   Accuracy:63.37
Epoch:35   Accuracy:63.69
Epoch:36   Accuracy:63.19
Epoch:37   Accuracy:64.17
Epoch:38   Accuracy:63.32
Epoch:39   Accuracy:63.76
Epoch:40   Accuracy:64.13
Epoch:41   Accuracy:63.75
Epoch:42   Accuracy:64.05
Epoch:43   Accuracy:64.33
Epoch:44   Accuracy:63.65
Epoch:45   Accuracy:65.10
Epoch:46   Accuracy:65.35
Epoch:47   Accuracy:64.75
Epoch:48   Accuracy:65.23
Epoch:49   Accuracy:64.81
Epoch:50   Accuracy:65.69
Epoch:51   Accuracy:65.70
Epoch:52   Accuracy:66.45
Epoch:53   Accuracy:65.42
Epoch:54   Accuracy:65.82
Epoch:55   Accuracy:66.04
Epoch:56   Accuracy:65.86
Epoch:57   Accuracy:65.94
Epoch:58   Accuracy:66.36
Epoch:59   Accuracy:66.80
Epoch:60   Accuracy:66.41
Epoch:61   Accuracy:66.23
Epoch:62   Accuracy:66.07
Epoch:63   Accuracy:67.12
Epoch:64   Accuracy:66.75
Epoch:65   Accuracy:66.89
Epoch:66   Accuracy:66.69
Epoch:67   Accuracy:66.39
Epoch:68   Accuracy:66.91
Epoch:69   Accuracy:66.93
Epoch:70   Accuracy:67.49
Epoch:71   Accuracy:67.66
Epoch:72   Accuracy:67.17
